epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
147,4.010546770403462,4.174007901778588,0.0,0.08,0.82,0.685,0.48,0.265,0.235,0.13,0.565,0.445
148,4.008561290720458,4.174336052857912,0.0,0.08,0.915,0.705,0.475,0.265,0.205,0.11,0.59,0.425
149,4.006069932958131,4.1734525332084065,0.0,0.085,0.89,0.73,0.495,0.255,0.225,0.145,0.595,0.44
150,4.003612842867451,4.172988368914678,0.0,0.085,0.835,0.65,0.49,0.255,0.215,0.145,0.56,0.435
151,4.003397889803814,4.172654330730438,0.0,0.07,0.855,0.745,0.505,0.255,0.175,0.11,0.59,0.44
152,3.999414736224759,4.17703129695012,0.0,0.075,0.835,0.71,0.53,0.245,0.215,0.13,0.555,0.43
153,4.00381428810858,4.175022070224468,0.0,0.08,0.845,0.7,0.51,0.255,0.225,0.145,0.56,0.43
154,3.9966933209408997,4.171072826935695,0.0,0.075,0.86,0.71,0.48,0.265,0.23,0.125,0.58,0.425
155,3.9911975916995797,4.172140657901764,0.0,0.075,0.87,0.675,0.5,0.26,0.2,0.13,0.565,0.46
156,3.991657806211902,4.170707303744096,0.0,0.08,0.845,0.745,0.515,0.255,0.24,0.12,0.58,0.44
157,3.988356151375719,4.170135667690864,0.0,0.08,0.845,0.74,0.515,0.255,0.255,0.145,0.585,0.41
158,3.993608477295086,4.170269319644341,0.0,0.065,0.88,0.73,0.54,0.265,0.22,0.145,0.585,0.455
159,3.982018247727425,4.169742130316221,0.0,0.07,0.86,0.75,0.53,0.275,0.25,0.16,0.6,0.445
160,3.9820021296060215,4.169480126637679,0.0,0.07,0.89,0.765,0.55,0.25,0.225,0.135,0.61,0.43
161,3.9817231352611255,4.168027653143956,0.0,0.065,0.88,0.72,0.54,0.265,0.25,0.125,0.595,0.43
162,3.977419142056537,4.170633902916541,0.0,0.07,0.85,0.72,0.47,0.25,0.21,0.135,0.58,0.43
163,3.974701448153424,4.170740764874679,0.0,0.085,0.87,0.69,0.5,0.255,0.27,0.145,0.575,0.415
164,3.9809747547231695,4.171933256662809,0.0,0.075,0.865,0.73,0.475,0.255,0.18,0.125,0.575,0.4
165,3.9725672080952634,4.1691082165791435,0.0,0.075,0.845,0.69,0.515,0.255,0.215,0.13,0.555,0.41
166,3.9681664364312286,4.172719391492697,0.0,0.075,0.8,0.745,0.48,0.25,0.22,0.115,0.555,0.39
167,3.9698826174582202,4.16876601255857,0.0,0.07,0.88,0.73,0.485,0.255,0.21,0.13,0.595,0.405
168,3.9675701074702765,4.1648427706498365,0.0,0.08,0.88,0.7,0.525,0.255,0.24,0.12,0.595,0.425
169,3.962138209804412,4.165679367688986,0.0,0.085,0.9,0.75,0.545,0.265,0.2,0.125,0.59,0.455
